,ability,W20,W20.5,W21.0,W21.5,W22.0,W22.5,W23.0,W23.5,W24.0,W24.5,W25.0,W25.5,W26.0,W26.5,W27.0,W27.5,W28.0,W28.5,W29.0,W29.5,W30.0,W30.5,W31.0,W31.5,W32.0,W32.5,W33.0,W33.5,W34.0,W34.5,W35.0,W35.5,W36.0,W36.5,W37.0,W37.5,W38.0,W38.5,W39.0,W39.5,W40.0,W40.5,W41.0,W41.5,W42.0,W42.5,W43.0,W43.5,W44.0,W44.5,W45.0,W45.5,W46.0,W46.5,W47.0,W47.5,W48.0,W48.5,W49.0,W49.5,W50.0,W50.5,W51.0,W51.5,W52.0,W52.5,W53.0,W53.5,W54.0,W54.5,W55.0,W55.5,W56.0,W56.5,W57.0,W57.5,W58.0,W58.5,W59.0,W59.5,W60.0,W60.5,W61.0,W61.5,W62.0,W62.5,W63.0,W63.5,W64.0,W64.5,W65.0,W65.5,W66.0,W66.5,W67.0,W67.5,W68.0,W68.5,W69.0,W69.5,W70.0
0,57,1024,2560.0,4608.0,5632.0,4864.0,5888.0,6912.0,7936.0,17920.0,37888.0,38912.0,39936.0,81920.0,165888.0,166912.0,168960.0,86528.0,88576.0,89600.0,46848.0,47872.0,48896.0,49920.0,50944.0,27520.0,15808.0,16832.0,17856.0,10976.0,24000.0,25024.0,27072.0,28096.0,58240.0,59264.0,60288.0,62336.0,126720.0,127744.0,128768.0,66432.0,67456.0,136960.0,70528.0,71552.0,72576.0,147200.0,75648.0,76672.0,78720.0,79744.0,80768.0,81792.0,82816.0,83840.0,84864.0,44480.0,24288.0,25312.0,14704.0,15728.0,16752.0,35552.0,19824.0,11960.0,12984.0,14008.0,15032.0,16056.0,18104.0,11100.0,12124.0,13148.0,8622.0,19292.0,20316.0,22364.0,23388.0,24412.0,14254.0,15278.0,16302.0,17326.0,10711.0,11735.0,12759.0,14807.0,15831.0,16855.0,17879.0,10987.5,12011.5,13035.5,28119.0,30167.0,32215.0,33239.0,68526.0,36311.0,37335.0,38359.0
1,52,1024,3072,4096,5120,6144,5120.0,6144.0,5120.0,4608.0,6656.0,5376.0,6400.0,5248.0,4672.0,11392.0,12416.0,13440.0,8768.0,9792.0,10816.0,7456.0,8480.0,6288.0,8336.0,9360.0,10384.0,7240.0,16528.0,17552.0,18576.0,19600.0,41248.0,22672.0,47392.0,49440.0,100928.0,52512.0,53536.0,54560.0,55584.0,56608.0,58656.0,60704.0,32400.0,18248.0,19272.0,20296.0,21320.0,23368.0,24392.0,25416.0,52880.0,28488.0,30536.0,63120.0,65168.0,66192.0,67216.0,136480.0,137504.0,138528.0,139552.0,71824.0,72848.0,73872.0,38984.0,41032.0,42056.0,43080.0,23588.0,25636.0,53320.0,28708.0,29732.0,30756.0,31780.0,33828.0,18962.0,11529.0,13577.0,14601.0,31250.0,64548.0,34322.0,35346.0,72740.0,73764.0,74788.0,75812.0,76836.0,77860.0,157768.0,158792.0,159816.0,81956.0,84004.0,44050.0,90148.0,91172.0,93220.0,94244.0
2,43,1024,3072,4096,4096.0,10240.0,11264.0,7680.0,9728.0,21504.0,22528.0,13312.0,14336.0,15360.0,9728.0,6912.0,7936.0,8960.0,9984.0,11008.0,13056.0,15104.0,16128.0,17152.0,36352.0,37376.0,38400.0,39424.0,40448.0,42496.0,23296.0,24320.0,50688.0,103424.0,104448.0,105472.0,54784.0,56832.0,30464.0,31488.0,33536.0,35584.0,36608.0,37632.0,39680.0,40704.0,22400.0,13248.0,15296.0,9696.0,11744.0,12768.0,13792.0,29632.0,31680.0,33728.0,69504.0,36800.0,38848.0,39872.0,40896.0,41920.0,42944.0,44992.0,47040.0,25568.0,26592.0,27616.0,29664.0,61376.0,62400.0,63424.0,33760.0,34784.0,36832.0,37856.0,38880.0,21488.0,22512.0,24560.0,25584.0,53216.0,54240.0,55264.0,29680.0,61408.0,32752.0,34800.0,35824.0,36848.0,37872.0,38896.0,79840.0,81888.0,82912.0,43504.0,45552.0,24824.0,25848.0,26872.0,15484.0,17532.0
3,59,1024,2560.0,4608.0,5632.0,4864.0,5888.0,4992.0,6016.0,7040.0,5568.0,13184.0,14208.0,9152.0,20352.0,12224.0,14272.0,15296.0,17344.0,10720.0,11744.0,12768.0,13792.0,14816.0,16864.0,10480.0,11504.0,7800.0,9848.0,10872.0,11896.0,25840.0,26864.0,27888.0,28912.0,59872.0,60896.0,61920.0,62944.0,127936.0,128960.0,66528.0,135104.0,69600.0,70624.0,71648.0,73696.0,38896.0,21496.0,22520.0,23544.0,25592.0,14844.0,15868.0,16892.0,17916.0,11006.0,7551.0,8575.0,10623.0,11647.0,12671.0,13695.0,8895.5,9919.5,10943.5,23935.0,24959.0,14527.5,9311.75,6703.875,7727.875,17503.75,18527.75,39103.5,40127.5,41151.5,42175.5,86399.0,87423.0,88447.0,89471.0,90495.0,183038.0,368124.0,186110.0,95103.0,49599.5,101247.0,204542.0,205566.0,206590.0,208638.0,106367.0,107391.0,108415.0,56255.5,57279.5,58303.5,59327.5,60351.5,122751.0
4,56,1024,2048,4096,5120,4608.0,4352.0,6400.0,14848.0,31744.0,65536.0,67584.0,68608.0,36352.0,37376.0,38400.0,21248.0,22272.0,23296.0,24320.0,25344.0,52736.0,107520.0,55808.0,57856.0,58880.0,119808.0,120832.0,62464.0,64512.0,34304.0,70656.0,37376.0,76800.0,77824.0,78848.0,80896.0,81920.0,82944.0,83968.0,84992.0,86016.0,174080.0,175104.0,176128.0,177152.0,90624.0,183296.0,185344.0,186368.0,187392.0,188416.0,189440.0,190464.0,191488.0,385024.0,772096.0,774144.0,775168.0,1552384.0,778240.0,391168.0,393216.0,394240.0,395264.0,792576.0,793600.0,1589248.0,1590272.0,3182592.0,6367232.0,3185664.0,6373376.0,6374400.0,6375424.0,6376448.0,6377472.0,3190784.0,1597440.0,1599488.0,1600512.0,802304.0,403200.0,404224.0,405248.0,406272.0,407296.0,409344.0,410368.0,207232.0,105664.0,213376.0,214400.0,215424.0,217472.0,218496.0,219520.0,220544.0,222592.0,223616.0,224640.0,114368.0
5,41,1024,2048,3072,5120,4608.0,5632.0,6656.0,7680.0,5888.0,6912.0,5504.0,6528.0,7552.0,8576.0,9600.0,6848.0,5472.0,6496.0,7520.0,17088.0,18112.0,19136.0,40320.0,41344.0,43392.0,88832.0,89856.0,91904.0,93952.0,96000.0,97024.0,50560.0,27328.0,29376.0,60800.0,61824.0,62848.0,63872.0,64896.0,65920.0,35008.0,37056.0,38080.0,21088.0,23136.0,48320.0,98688.0,99712.0,51904.0,52928.0,53952.0,54976.0,56000.0,30048.0,31072.0,32096.0,18096.0,19120.0,20144.0,21168.0,12632.0,13656.0,14680.0,15704.0,16728.0,17752.0,18776.0,11436.0,24920.0,26968.0,27992.0,58032.0,60080.0,61104.0,32600.0,18348.0,19372.0,21420.0,22444.0,13270.0,14294.0,30636.0,31660.0,33708.0,34732.0,19414.0,20438.0,12267.0,13291.0,14315.0,30678.0,17387.0,19435.0,40918.0,22507.0,47062.0,48086.0,98220.0,99244.0,51670.0,52694.0
6,50,1024,2048,3072,4096,5120,6144,14336,15360,17408,18432,19456,20480,21504,22528,23552,13824.0,8960.0,19968.0,20992.0,12544.0,14592.0,15616.0,9856.0,11904.0,13952.0,14976.0,9536.0,11584.0,7840.0,8864.0,19776.0,20800.0,21824.0,23872.0,13984.0,30016.0,31040.0,33088.0,34112.0,70272.0,71296.0,72320.0,73344.0,74368.0,75392.0,76416.0,78464.0,80512.0,81536.0,82560.0,83584.0,84608.0,44352.0,45376.0,92800.0,93824.0,94848.0,49472.0,51520.0,52544.0,53568.0,28832.0,29856.0,16976.0,18000.0,19024.0,20048.0,21072.0,12584.0,8340.0,9364.0,10388.0,11412.0,12436.0,13460.0,14484.0,15508.0,9802.0,21652.0,23700.0,49448.0,50472.0,51496.0,52520.0,54568.0,29332.0,30356.0,32404.0,18250.0,19274.0,20298.0,22346.0,13221.0,14245.0,15269.0,16293.0,34634.0,35658.0,36682.0,38730.0,39754.0
7,41,1024,2048,3072,5120,6144,7168,8192,9216,11264,12288,8192.0,9216.0,10240.0,11264.0,13312.0,14336.0,16384.0,18432.0,20480.0,21504.0,22528.0,47104.0,25600.0,26624.0,28672.0,29696.0,16896.0,17920.0,18944.0,11520.0,7808.0,8832.0,6464.0,7488.0,5792.0,6816.0,5456.0,7504.0,8528.0,6312.0,5204.0,6228.0,5162.0,6186.0,8234.0,9258.0,10282.0,11306.0,12330.0,13354.0,15402.0,16426.0,17450.0,18474.0,19498.0,11797.0,12821.0,8458.5,9482.5,21013.0,12554.5,13578.5,14602.5,9349.25,10373.25,22794.5,23818.5,25866.5,53781.0,28938.5,29962.5,30986.5,32010.5,18053.25,11074.625,12098.625,14146.625,30341.25,32389.25,66826.5,67850.5,69898.5,71946.5,72970.5,38533.25,39557.25,21826.625,22850.625,23874.625,24898.625,51845.25,27970.625,28994.625,30018.625,17057.3125,18081.3125,19105.3125,21153.3125,22177.3125,46402.625,47426.625
8,46,1024,2048,4096,5120,6144,7168,5632.0,6656.0,8704.0,19456.0,20480.0,12288.0,8192.0,18432.0,11264.0,12288.0,14336.0,9216.0,6656.0,7680.0,8704.0,10752.0,11776.0,7936.0,9984.0,11008.0,13056.0,14080.0,15104.0,9600.0,10624.0,11648.0,12672.0,13696.0,8896.0,10944.0,23936.0,25984.0,15040.0,16064.0,17088.0,19136.0,21184.0,12640.0,27328.0,15712.0,16736.0,10416.0,12464.0,13488.0,8792.0,6444.0,7468.0,8492.0,19032.0,11564.0,7830.0,9878.0,10902.0,12950.0,14998.0,17046.0,19094.0,21142.0,22166.0,23190.0,24214.0,26262.0,27286.0,28310.0,29334.0,30358.0,17227.0,18251.0,19275.0,40598.0,42646.0,43670.0,23883.0,24907.0,26955.0,15525.5,16549.5,18597.5,19621.5,20645.5,21669.5,23717.5,24741.5,25765.5,14930.75,15954.75,16978.75,18002.75,19026.75,20050.75,22098.75,13097.375,15145.375,32338.75,34386.75
9,45,1024,3072,4096,4096.0,6144.0,14336.0,15360.0,32768.0,33792.0,35840.0,19968.0,20992.0,23040.0,13568.0,14592.0,15616.0,9856.0,10880.0,11904.0,13952.0,14976.0,16000.0,17024.0,10560.0,7328.0,8352.0,9376.0,10400.0,12448.0,13472.0,14496.0,15520.0,33088.0,35136.0,36160.0,37184.0,38208.0,21152.0,44352.0,46400.0,48448.0,49472.0,50496.0,51520.0,53568.0,54592.0,55616.0,56640.0,30368.0,31392.0,32416.0,33440.0,34464.0,35488.0,37536.0,39584.0,41632.0,85312.0,86336.0,45216.0,47264.0,96576.0,97600.0,98624.0,99648.0,51872.0,52896.0,28496.0,59040.0,60064.0,61088.0,62112.0,63136.0,33616.0,34640.0,35664.0,19880.0,20904.0,21928.0,22952.0,23976.0,25000.0,26024.0,27048.0,28072.0,58192.0,59216.0,60240.0,32168.0,33192.0,34216.0,35240.0,36264.0,37288.0,38312.0,39336.0,40360.0,42408.0,43432.0,44456.0,45480.0
